	tool	gfa_id	msa	obj_function	penalization	min_len	len_graph	n_nodes	n_edges	is_acyclic	weakly_connected_components	len_shared_nodes	perc_len_shared_nodes
152	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	7	10	3422	235	315	acyclic	1	3224	94.21
153	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	7	10	16267	150	200	acyclic	1	16140	99.22
154	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	7	10	4854	54	71	acyclic	1	3695	76.12
155	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	7	10	9080	2818	3891	acyclic	1	6118	67.38
156	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	7	10	4804	13	16	acyclic	1	4796	99.83
157	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	7	10	17061	263	359	acyclic	1	16657	97.63
158	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	7	10	5469	116	154	acyclic	1	5393	98.61
159	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	7	10	4520	29	38	acyclic	1	4499	99.54
160	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	7	10	14117	877	1176	acyclic	1	13383	94.8
161	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	7	10	1098	54	74	acyclic	1	959	87.34
162	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	3	5	15081	250	333	acyclic	1	4829	32.02
163	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	3	5	6567	70	93	acyclic	1	6412	97.64
164	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	3	5	17130	644	880	acyclic	1	5506	32.14
165	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	3	5	4020	106	142	acyclic	1	3936	97.91
166	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	3	5	3306	324	440	acyclic	1	3070	92.86
167	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	3	5	4211	165	220	acyclic	1	4090	97.13
168	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	3	5	24599	4331	6010	acyclic	1	8189	33.29
169	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	3	5	16138	85	115	acyclic	1	2186	13.55
170	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	3	5	7474	243	325	acyclic	1	7229	96.72
171	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	3	5	8774	32	42	acyclic	1	8752	99.75
172	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	3	5	5269	178	239	acyclic	1	5112	97.02
173	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	3	5	1098	54	74	acyclic	1	959	87.34
174	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	3	5	14091	877	1176	acyclic	1	13383	94.98
175	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	3	5	15801	453	611	acyclic	1	11611	73.48
176	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	3	5	4520	29	38	acyclic	1	4499	99.54
177	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	3	5	5469	116	154	acyclic	1	5393	98.61
178	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	3	5	13393	638	865	acyclic	1	12816	95.69
179	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	3	5	19473	1833	2516	acyclic	1	4553	23.38
180	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	3	5	16267	150	200	acyclic	1	16140	99.22
181	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	3	5	4804	13	16	acyclic	1	4796	99.83
182	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	3	5	9085	2818	3891	acyclic	1	6118	67.34
183	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	3	5	4854	54	71	acyclic	1	3695	76.12
184	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	3	5	3422	235	315	acyclic	1	3224	94.21
185	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	3	5	17061	263	359	acyclic	1	16657	97.63
186	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	3	5	61069	1884	2557	acyclic	1	2987	4.89
187	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	3	5	3576	498	672	acyclic	1	3205	89.63
188	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	3	5	4184	474	646	acyclic	1	3162	75.57
189	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	5	5	61069	1884	2557	acyclic	1	2987	4.89
190	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	5	5	14091	877	1176	acyclic	1	13383	94.98
191	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	5	5	3576	498	672	acyclic	1	3205	89.63
192	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	5	5	1098	54	74	acyclic	1	959	87.34
193	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	5	5	4184	474	646	acyclic	1	3162	75.57
194	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	5	5	4520	29	38	acyclic	1	4499	99.54
195	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	5	5	4804	13	16	acyclic	1	4796	99.83
196	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	5	5	3422	235	315	acyclic	1	3224	94.21
197	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	5	5	4854	54	71	acyclic	1	3695	76.12
198	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	5	5	17061	263	359	acyclic	1	16657	97.63
199	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	5	5	9095	2819	3893	acyclic	1	6118	67.27
200	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	5	5	16267	150	200	acyclic	1	16140	99.22
201	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	5	5	5469	116	154	acyclic	1	5393	98.61
202	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	5	5	19473	1833	2516	acyclic	1	4553	23.38
203	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	5	5	13393	638	865	acyclic	1	12816	95.69
204	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	5	5	6567	70	93	acyclic	1	6412	97.64
205	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	5	5	15081	250	333	acyclic	1	4829	32.02
206	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	5	5	24599	4331	6010	acyclic	1	8189	33.29
207	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	5	5	17130	644	880	acyclic	1	5506	32.14
208	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	5	5	7474	243	325	acyclic	1	7229	96.72
209	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	5	5	15801	453	611	acyclic	1	11611	73.48
210	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	5	5	4020	106	142	acyclic	1	3936	97.91
211	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	5	5	3306	324	440	acyclic	1	3070	92.86
212	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	5	5	4211	165	220	acyclic	1	4090	97.13
213	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	5	5	16138	85	115	acyclic	1	2186	13.55
214	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	5	5	5269	178	239	acyclic	1	5112	97.02
215	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	5	5	8774	32	42	acyclic	1	8752	99.75
216	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	7	3	8774	32	42	acyclic	1	8752	99.75
217	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	7	3	5269	178	239	acyclic	1	5112	97.02
218	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	7	3	7474	243	325	acyclic	1	7229	96.72
219	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	7	3	3308	324	440	acyclic	1	3070	92.81
220	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	7	3	4020	106	142	acyclic	1	3936	97.91
221	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	7	3	4211	165	220	acyclic	1	4090	97.13
222	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	7	3	6567	70	93	acyclic	1	6412	97.64
223	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	7	3	16138	85	115	acyclic	1	2186	13.55
224	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	7	3	15081	250	333	acyclic	1	4829	32.02
225	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	7	3	24603	4332	6011	acyclic	1	8189	33.28
226	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	7	3	17130	644	880	acyclic	1	5506	32.14
227	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	7	3	9103	2819	3893	acyclic	1	6118	67.21
228	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	7	3	15801	453	611	acyclic	1	11611	73.48
229	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	7	3	5469	116	154	acyclic	1	5393	98.61
230	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	7	3	17062	263	359	acyclic	1	16657	97.63
231	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	7	3	61069	1884	2557	acyclic	1	2987	4.89
232	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	7	3	13393	638	865	acyclic	1	12816	95.69
233	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	7	3	19472	1833	2516	acyclic	1	4553	23.38
234	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	7	3	3576	498	672	acyclic	1	3205	89.63
235	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	7	3	4854	54	71	acyclic	1	3695	76.12
236	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	7	3	4186	474	646	acyclic	1	3162	75.54
237	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	7	3	16267	150	200	acyclic	1	16140	99.22
238	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	7	3	4804	13	16	acyclic	1	4796	99.83
