,tool,gfa_id,msa,obj_function,penalization,min_len,len_graph,n_nodes,n_edges
54,makeprg,DMB-3109,mafft.op1.53-ep0,makeprg,0,0,6455,40,52
55,makeprg,DMB-3109,mafft.op3-ep0,makeprg,0,0,6565,43,56
56,makeprg,DMB-3109,mafft.op5-ep0,makeprg,0,0,6565,43,56
57,PanPA,V-352962,mafft.op1.53-ep0,strings,0,0,1014,50,66
58,PanPA,V-352962,mafft.op3-ep0,strings,0,0,1014,50,66
59,PanPA,V-352962,mafft.op5-ep0,strings,0,0,1014,50,66
60,pangeblocks,DQA1-3117,mafft.op3-ep0,nodes,0,0,19009,1484,1999
61,pangeblocks,DQA1-3117,mafft.op3-ep0,weighted,3,3,19009,1484,1999
62,pangeblocks,DQA1-3117,mafft.op3-ep0,weighted,7,5,19009,1484,1999
63,pggb,DRA-3122,wfmash,pggb,0,0,5271,180,241
64,pangeblocks,DRA-3122,mafft.op1.53-ep0,weighted,7,3,8231,3524,4734
65,pangeblocks,DRA-3122,mafft.op1.53-ep0,weighted,5,5,8231,3524,4734
66,pggb,TAP1-6890,wfmash,pggb,0,0,8776,34,44
67,pangeblocks,TAP1-6890,mafft.op1.53-ep0,weighted,7,3,13899,5492,7371
68,pangeblocks,TAP1-6890,mafft.op1.53-ep0,weighted,5,5,13899,5492,7371
69,pggb,MICB-4277,wfmash,pggb,0,0,16654,644,878
70,PanPA,MICB-4277,mafft.op1.53-ep0,strings,0,0,16707,653,891
71,PanPA,MICB-4277,mafft.op3-ep0,strings,0,0,16707,652,890
72,pggb,DOB-3112,wfmash,pggb,0,0,4856,56,73
73,PanPA,DOB-3112,mafft.op1.53-ep0,strings,0,0,7407,2572,3450
74,PanPA,DOB-3112,mafft.op3-ep0,strings,0,0,7712,2488,3327
75,pggb,DRB3-3125,wfmash,pggb,0,0,13323,617,825
76,PanPA,DRB3-3125,mafft.op1.53-ep0,strings,0,0,13324,621,831
77,PanPA,DRB3-3125,mafft.op3-ep0,strings,0,0,13324,621,831
78,PanPA,DRB4-3126,mafft.op5-ep0,strings,0,0,15080,248,330
79,pggb,DRB4-3126,wfmash,pggb,0,0,15080,248,331
80,pangeblocks,DRB4-3126,mafft.op5-ep0,weighted,3,5,15081,247,332
81,pggb,B-3106,wfmash,pggb,0,0,4188,483,656
82,PanPA,B-3106,mafft.op1.53-ep0,strings,0,0,6076,2526,3442
83,pangeblocks,B-3106,mafft.op1.53-ep0,weighted,7,3,6096,2420,3298
